36
         1 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       161460.00 2000-2000
         2 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       151970.00 2001-2001
         3 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       142480.00 2002-2002
         4 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       132990.00 2003-2003
         5 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       123474.00 2004-2004
         6 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       113984.00 2005-2005
         7 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX       104494.00 2006-2006
         8 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        95004.00 2007-2007
         9 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        85488.00 2008-2008
        10 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        75998.00 2009-2009
        11 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        66508.00 2010-2010
        12 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        57018.00 2011-2011
        13 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        47502.00 2012-2012
        14 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        38012.00 2013-2013
        15 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        28522.00 2014-2014
        16 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX        19032.00 2015-2015
        17 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX         9516.00 2016-2016
        18 BBC uuyYYxUzZZZUZvzxzXWUuwyyYZwVvX           26.00 2017-2017
        19 BBC uuyuyyXXxYvVwx                      1194804.00 2000-2000
        20 BBC uuyuyyXXxYvVwx                      1124578.00 2001-2001
        21 BBC uuyuyyXXxYvVwx                      1054352.00 2002-2002
        22 BBC uuyuyyXXxYvVwx                       984126.00 2003-2003
        23 BBC uuyuyyXXxYvVwx                       913707.60 2004-2004
        24 BBC uuyuyyXXxYvVwx                       843481.60 2005-2005
        25 BBC uuyuyyXXxYvVwx                       773255.60 2006-2006
        26 BBC uuyuyyXXxYvVwx                       703029.60 2007-2007
        27 BBC uuyuyyXXxYvVwx                       632611.20 2008-2008
        28 BBC uuyuyyXXxYvVwx                       562385.20 2009-2009
        29 BBC uuyuyyXXxYvVwx                       492159.20 2010-2010
        30 BBC uuyuyyXXxYvVwx                       421933.20 2011-2011
        31 BBC uuyuyyXXxYvVwx                       351514.80 2012-2012
        32 BBC uuyuyyXXxYvVwx                       281288.80 2013-2013
        33 BBC uuyuyyXXxYvVwx                       211062.80 2014-2014
        34 BBC uuyuyyXXxYvVwx                       140836.80 2015-2015
        35 BBC uuyuyyXXxYvVwx                        70418.40 2016-2016
        36 BBC uuyuyyXXxYvVwx                          192.40 2017-2017
